season,FTHG,FTAG,FTR,HomeStreak5,AwayStreak5,matchid,HomeStreak3,AwayStreak3,PointsHome,PointsAway,HomeResult5,AwayResult5,AwayScored,AwayConceded,HomeConceded,HomeScored,DifH,DifA,DifPoints,HV5,AV5,HV3,AV3
1718,1,0,H,0,1,2093,0,0,18,21,2,4,13,29,22,15,-7,-16,-3,0,0,0,0
1718,1,0,H,4,0,2094,2,0,25,15,0,1,13,37,27,24,-3,-24,10,0,0,0,0
1718,2,0,H,5,0,2095,3,0,48,13,0,2,18,39,13,42,29,-21,35,1,0,1,0
1718,1,2,A,4,2,2096,2,1,39,27,0,7,29,25,12,29,17,4,12,0,0,0,0
1718,2,5,A,1,3,2097,1,2,15,37,1,10,43,22,33,19,-14,21,-22,0,0,0,0
1718,3,0,H,3,1,2098,2,1,25,24,2,5,23,27,27,25,-2,-4,1,0,0,0,0
1718,0,1,A,2,5,2099,1,3,30,51,4,15,44,13,26,31,5,31,-21,0,1,0,1
1718,3,0,H,1,0,2100,1,0,24,7,2,0,13,43,30,23,-7,-30,17,0,0,0,0
1718,1,2,A,2,4,2101,1,2,20,28,3,12,25,27,31,18,-13,-2,-8,0,0,0,0
1718,1,1,D,4,4,2102,3,2,42,39,1,12,30,14,15,35,20,16,3,0,0,1,0
1718,5,1,H,3,1,2103,2,1,40,22,1,5,20,32,24,48,24,-12,18,0,0,0,0
1718,3,1,H,3,2,2104,2,1,30,28,2,6,29,21,29,36,7,8,2,0,0,0,0
1718,1,1,D,1,3,2105,0,2,21,28,4,11,28,27,30,13,-17,1,-7,0,0,0,0
1718,1,1,D,1,1,2106,1,1,28,15,3,4,21,38,27,33,6,-17,13,0,0,0,0
1718,0,3,A,0,0,2107,0,0,13,15,2,1,13,38,41,18,-23,-25,-2,0,0,0,0
1718,1,0,H,5,0,2108,3,0,50,21,0,2,16,22,15,49,34,-6,29,1,0,1,0
1718,3,0,H,3,1,2109,2,1,43,29,1,3,34,28,25,53,28,6,14,0,0,0,0
1718,1,1,D,3,4,2110,2,2,33,40,2,12,31,15,30,39,9,16,-7,0,0,0,0
1718,0,2,A,1,5,2111,1,3,22,53,5,15,50,15,37,21,-16,35,-31,0,1,0,1
1718,0,3,A,1,2,2112,0,1,22,30,4,7,31,27,31,14,-17,4,-8,0,0,0,0
1718,1,1,D,0,2,2113,0,1,18,20,4,6,19,33,38,16,-22,-14,-2,0,0,0,0
1718,1,4,A,2,0,2114,1,0,28,13,0,2,18,44,24,30,6,-26,15,0,0,0,0
1718,0,1,A,0,1,2115,0,1,21,29,5,3,34,31,23,16,-7,3,-8,0,0,0,0
1718,2,1,H,4,3,2116,2,2,31,46,3,10,56,25,28,27,-1,31,-15,0,0,0,0
1718,3,1,H,5,1,2117,3,1,54,27,0,5,26,30,13,45,32,-4,27,1,0,1,0
1718,0,1,A,4,3,2118,2,2,41,34,0,11,40,31,16,32,16,9,7,0,0,0,0
1718,1,1,D,1,4,2119,1,3,16,43,4,13,36,16,39,22,-17,20,-27,0,0,0,1
1718,3,0,H,3,0,2120,2,0,29,7,2,0,13,46,28,29,1,-33,22,0,0,0,0
1718,1,1,D,4,0,2121,3,0,44,19,1,1,17,39,17,37,20,-22,25,0,0,1,0
1718,1,1,D,3,3,2122,2,2,37,32,2,11,32,28,31,41,10,4,5,0,0,0,0
1718,1,0,H,2,1,2123,1,1,33,22,1,5,21,39,27,34,7,-18,11,0,0,0,0
1718,0,2,A,0,5,2124,0,3,7,57,3,15,48,14,49,13,-36,34,-50,0,1,0,1
1718,1,2,A,1,2,2125,1,1,27,28,5,6,31,28,33,27,-6,3,-1,0,0,0,0
1718,2,0,H,2,1,2126,1,1,21,17,0,4,23,40,34,20,-14,-17,4,0,0,0,0
