season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeStreak5,AwayStreak5,matchid,HomeStreak3,AwayStreak3,PointsHome,PointsAway,winner,HomeResult5,AwayResult5,AwayScored,AwayConceded,HomeConceded,HomeScored,DifH,DifA,DifPoints
1112,2012-01-15,Chievo,Palermo,1,0,H,2,3,172,1,2,20,21,Chievo,2,10,19,23,20,13,-7,-4,-1
1112,2012-01-15,Fiorentina,Lecce,0,1,A,2,1,173,2,1,21,9,Lecce,1,3,17,34,15,18,3,-17,12
1112,2012-01-15,Genoa,Udinese,3,2,H,2,3,174,2,2,21,35,Genoa,1,11,24,10,27,19,-8,14,-14
1112,2012-01-15,Juventus,Cagliari,1,1,D,3,3,175,2,2,37,21,noone,2,10,15,17,11,28,17,-2,16
1112,2012-01-15,Lazio,Atalanta,2,0,H,2,3,176,1,2,30,26,Lazio,2,10,23,21,17,24,7,2,4
1112,2012-01-15,Milan,Inter,0,1,A,1,1,177,0,0,37,29,Inter,2,4,27,19,16,37,21,8,8
1112,2012-01-15,Parma,Siena,3,1,H,2,1,178,1,0,19,18,Parma,0,5,18,16,31,21,-10,2,1
1112,2012-01-16,Napoli,Bologna,1,1,D,3,0,179,2,0,27,18,noone,1,1,16,24,19,32,13,-8,9
1112,2012-01-21,Atalanta,Juventus,0,2,A,3,3,180,2,2,26,38,Juventus,1,11,29,12,23,23,0,17,-12
1112,2012-01-21,Roma,Cesena,5,1,H,2,0,181,0,0,27,15,Roma,2,1,12,25,19,23,4,-13,12
1112,2012-01-22,Bologna,Parma,0,0,D,0,2,182,0,1,19,22,noone,1,6,24,32,25,17,-8,-8,-3
1112,2012-01-22,Cagliari,Fiorentina,0,0,D,3,2,183,2,2,22,21,noone,1,7,18,16,18,16,-2,2,1
1112,2012-01-22,Inter,Lazio,2,1,H,1,2,184,0,1,32,33,Inter,1,8,26,17,19,28,9,9,-1
1112,2012-01-22,Lecce,Chievo,2,2,D,1,2,185,1,1,12,23,noone,0,8,14,20,34,18,-16,-6,-11
1112,2012-01-22,Novara,Milan,0,3,A,1,1,186,1,0,12,37,Milan,2,5,37,17,35,18,-17,20,-25
1112,2012-01-22,Palermo,Genoa,5,3,H,3,2,187,2,2,21,24,Palermo,1,7,22,29,24,19,-5,-7,-3
1112,2012-01-22,Siena,Napoli,1,1,D,1,3,188,0,2,18,28,noone,2,10,33,20,19,19,0,13,-10
1112,2012-01-22,Udinese,Catania,2,1,H,3,1,189,2,1,35,22,Udinese,2,6,20,25,13,26,13,-5,13
1112,2012-01-28,Catania,Parma,1,1,D,1,2,190,1,1,22,23,noone,3,6,24,32,27,21,-6,-8,-1
1112,2012-01-28,Juventus,Udinese,2,1,H,3,3,191,2,2,41,38,Juventus,2,11,28,14,12,31,19,14,3
1112,2012-01-29,Cesena,Atalanta,0,1,A,0,3,192,0,2,15,26,Atalanta,1,10,23,25,30,13,-17,-2,-11
1112,2012-01-29,Chievo,Lazio,0,3,A,2,2,193,1,1,24,33,Lazio,2,8,27,19,22,16,-6,8,-9
1112,2012-01-29,Fiorentina,Siena,2,1,H,2,1,194,2,0,22,19,Fiorentina,1,5,20,20,16,18,2,0,3
1112,2012-01-29,Genoa,Napoli,3,2,H,2,3,195,2,2,24,29,Genoa,1,10,34,21,34,25,-9,13,-5
1112,2012-01-29,Lecce,Inter,1,0,H,1,1,196,1,0,13,35,Lecce,0,4,30,20,36,20,-16,10,-22
1112,2012-01-29,Milan,Cagliari,3,0,H,1,3,197,0,2,40,23,Milan,2,10,16,18,17,40,23,-2,17
1112,2012-01-29,Palermo,Novara,2,0,H,3,1,198,2,1,24,12,Palermo,1,5,18,38,27,24,-3,-20,12
1112,2012-01-29,Roma,Bologna,1,1,D,2,0,199,0,0,30,20,noone,2,1,17,25,20,28,8,-8,10
1112,2012-02-01,Cagliari,Roma,4,2,H,3,2,200,2,0,23,31,Cagliari,1,8,29,21,21,16,-5,8,-8
1112,2012-02-01,Inter,Palermo,4,4,D,1,3,201,0,2,35,27,noone,4,10,26,27,21,30,9,-1,8
1112,2012-02-01,Lazio,Milan,2,0,H,2,1,202,1,0,36,43,Lazio,2,5,43,17,19,30,11,26,-7
1112,2012-02-01,Napoli,Cesena,0,0,D,3,0,203,2,0,29,15,noone,1,1,13,31,24,36,12,-18,14
1112,2012-02-01,Udinese,Lecce,2,1,H,3,1,204,2,1,38,16,Udinese,2,3,21,36,16,29,13,-15,22
1112,2012-02-02,Novara,Chievo,1,2,A,1,2,205,1,1,12,24,Chievo,2,8,16,25,40,18,-22,-9,-12
1112,2012-02-04,Roma,Inter,4,0,H,2,1,206,0,0,31,36,Roma,2,4,34,25,25,31,6,9,-5
1112,2012-02-05,Chievo,Parma,1,2,A,2,2,207,1,1,27,24,Parma,5,6,25,33,26,18,-8,-8,3
1112,2012-02-05,Fiorentina,Udinese,3,2,H,2,3,208,2,2,25,41,Fiorentina,4,11,31,17,17,20,3,14,-16
1112,2012-02-05,Genoa,Lazio,3,2,H,2,2,209,2,1,27,39,Genoa,1,8,32,19,36,28,-8,13,-12
1112,2012-02-05,Juventus,Siena,0,0,D,3,1,210,2,0,44,19,noone,2,5,21,22,13,33,20,-1,25
1112,2012-02-05,Lecce,Bologna,0,0,D,1,0,211,1,0,16,21,noone,0,1,18,26,38,22,-16,-8,-5
1112,2012-02-05,Milan,Napoli,0,0,D,1,3,212,0,2,43,30,noone,5,10,36,24,19,43,24,12,13
1112,2012-02-05,Novara,Cagliari,0,0,D,1,3,213,1,2,12,26,noone,5,10,20,23,42,19,-23,-3,-14
